"id","weights","act_personal","act_household","act_carehhm","act_carenhm","act_work","act_school","act_groceries","act_ppservice","act_hhservice","act_admin","act_eating","act_leisure","act_sport","act_religious","act_volunteer","act_other","trv_personal","trv_household","trv_care_child","trv_care_adult","trv_work","trv_school","trv_groceries","trv_ppservice","trv_hhservice","trv_admin","trv_eating","trv_leisure","trv_sport","trv_religious","trv_volunteer","trv_other","act_buyfood","act_shopping","trv_buyfood","trv_shopping","trv_social","act","trv","budget","age","female","eldertime","childtime","children","youngest","spouse","spousework","work","multijob","FTjob","PTjob","worktime","school","weekend","holiday","metro","trv.eatout_w.spouse","trv.eating_w.spouse","trv.eating_w.hhchild","trv.social_w.hhchild","trv.shop_w.spouse","trv.groceries_w.spouse","trv.care_w.hhchild","trv.social_w.spouse","trv.food_w.spouse","trv.religious_w.spouse","trv.groceries_w.hhchild","trv.food_w.hhchild","trv.religious_w.hhchild","trv.care_w.spouse","trv.shop_w.hhchild","trv.care_w.elder","trv.care_w.nhchild","income","inc"
"20220101220017",31372411.82935,710,15,0,0,490,0,0,0,0,0,45,60,0,60,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,1380,60,1440,52,0,0,60,2,12,1,1,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20220101220500",41333240.723105,940,35,0,0,0,0,0,0,0,0,90,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,30,1,0,0,0,0,1,1,1,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"$49,000 - $74,999"
"20220101220504",5708959.047034,510,355,0,0,185,0,0,0,0,0,125,225,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,64,1,0,0,0,0,1,1,1,0,0,1,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20220101220507",5024633.493714,580,260,0,15,50,0,0,0,0,0,85,395,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,1395,45,1440,60,1,0,0,0,0,1,1,1,0,0,1,25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"$49,000 - $74,999"
"20220101220552",12479838.025173,582,10,0,0,0,0,0,0,0,0,90,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20220101220574",11289660.931211,660,190,0,0,0,0,0,0,0,0,115,473,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,74,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"$49,000 - $74,999"
"20220101220580",4102730.97346,675,105,0,0,0,0,0,75,0,0,180,210,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,135,0,0,0,0,0,1245,195,1440,63,1,415,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20220101220601",8807753.899062,570,250,0,0,0,0,30,0,0,0,30,540,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,20,1440,58,1,0,580,1,6,0,0,1,0,1,0,55,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20220101220605",10180753.488565,1397,3,0,0,0,0,0,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,62,1,0,0,0,0,1,1,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20220101220613",19427998.704977,750,30,0,0,0,0,0,0,0,0,75,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,120,0,0,0,1410,30,1440,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"$25,000 - $49,999"
